item_name,item_price,item_rating,item_review,product_url
"Sceptre Curved 30"" 21: 9 Gaming Monitor 2560x1080p Ultra Wide Ultra Slim HDMI DisplayPort Up to 85Hz MPRT 1ms FPS-RTS Build-in Speakers, Machine Black (C305W-2560UN)",,4.6 out of 5 stars,"1,873",https://amazon.com/Sceptre-C305W-2560UN-30-inch-DisplayPort-Build/dp/B07XZNXWGS/ref=sr_1_36?dchild=1&keywords=ultrawide+monitor&qid=1611509799&sr=8-36
"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",$139.97,4.6 out of 5 stars,"1,153",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07621481SJQSXKZFPOYW&url=%2FSceptre-Business-Computer-Speakers-e275W-FPT%2Fdp%2FB089BTLL9K%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509799%26sr%3D8-37-spons%26psc%3D1&qualifier=1611509799&id=2803273690683190&widgetName=sp_btf
ViewSonic XG3220 32 Inch 60Hz 4K Gaming Monitor with FreeSync HDMI DP Eye Care Advanced Ergonomics and HDR10 for PC and Console Gaming,$499.99,4.4 out of 5 stars,328,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A001899933IK49AB7YEZD&url=%2FViewSonic-XG3220-FreeSync-Advanced-Ergonomics%2Fdp%2FB079S2X4ZS%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509799%26sr%3D8-38-spons%26psc%3D1&qualifier=1611509799&id=2803273690683190&widgetName=sp_btf
ViewSonic XG2530 25 Inch 1080p 240Hz 1ms Gaming Monitor with FreeSync Premium Eye Care Advanced Ergonomics HDMI and DP for Esports,$349.99,4.4 out of 5 stars,328,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00192791HML7MJYVMZ95&url=%2FViewSonic-XG2530-FreeSync-Advanced-Ergonomics%2Fdp%2FB071DTCPP3%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509808%26sr%3D8-33-spons%26psc%3D1&qualifier=1611509808&id=7084768050616489&widgetName=sp_atf_next
"Belkin Thunderbolt 3 Dock Pro w/ 2.6ft Thunderbolt 3 Cable (Thunderbolt Dock for MacOS and Windows) Dual 4K @60Hz, 40Gbps Transfer Speeds, 85W Upstream Charging",$249.99,4.0 out of 5 stars,"1,118",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0193888L4ZXB2LL262Q&url=%2FBelkin-Thunderbolt-Transfer-Upstream-Charging%2Fdp%2FB07YLMJZXB%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1611509808%26sr%3D8-34-spons%26psc%3D1&qualifier=1611509808&id=7084768050616489&widgetName=sp_atf_next
Nixeus EDG 34” Ultrawide 3440 x 1440 AMD Radeon FreeSync Certified 144Hz 1500R Curved Gaming Monitor with Tilt Only Stand (NX-EDG34S),$549.99,4.4 out of 5 stars,222,https://amazon.com/Nixeus-Ultrawide-FreeSync-Certified-NX-EDG34S/dp/B07ZG7R5BB/ref=sr_1_35?dchild=1&keywords=ultrawide+monitor&qid=1611509808&sr=8-35
Asus TUF Gaming VG35VQ 35” Curved HDR Monitor 100Hz Uwqhd (3440 X 1440) 1ms FreeSync Eye Care DisplayPort HDMI USB HDR10,$579.00,4.4 out of 5 stars,126,https://amazon.com/Gaming-VG35VQ-Monitor-FreeSync-DisplayPort/dp/B07YP6PFFT/ref=sr_1_36?dchild=1&keywords=ultrawide+monitor&qid=1611509808&sr=8-36
"SAMSUNG LU32R590CWNXZA 32-Inch UR590C UHD 4K Curved Gaming Monitor, Dark Blue Gray",$399.99,4.5 out of 5 stars,742,https://amazon.com/Samsung-U32R590-Curved-Monitor-LU32R590CWNXZA/dp/B07L9G1BFX/ref=sr_1_37?dchild=1&keywords=ultrawide+monitor&qid=1611509808&sr=8-37
"LG 32QK500-C 32-Inch Class QHD LED IPS Monitor with Radeon FreeSync (31.5"" Diagonal) Silver",,4.6 out of 5 stars,568,https://amazon.com/LG-32QK500-C-32-Inch-FreeSync-Diagonal/dp/B07YGZRQ98/ref=sr_1_38?dchild=1&keywords=ultrawide+monitor&qid=1611509808&sr=8-38
"Philips 346E2CUAE 34"" Curved Frameless Monitor, UltraWide QHD 3440 x 1440, 121% sRGB/99.5% NTSC, 1ms MPRT, USB-C docking, MultiView PIP/PBP, Height Adjustable, VESA, 4Yr Advance Replacement Warranty",$429.99,,,https://amazon.com/346E2CUAE-Frameless-UltraWide-Adjustable-Replacement/dp/B08KFSMGJ8/ref=sr_1_39?dchild=1&keywords=ultrawide+monitor&qid=1611509808&sr=8-39
